"pdfNumber","pdfQuestion","pdfAnswer"
"283","¿Qué son las barreras de seguridad en una carretera?","Son dispositivos que se sitúan a lo largo de los márgenes exteriores de una carretera para evitar que los vehículos que se salen de la calzada alcancen un obstáculo o un desnivel."
"284","¿Qué son los pretiles en una carretera?","Son dispositivos destinados para ser utilizados en puentes tramos en los que el peligro que entraña la posible salida de la vía es muy importante."
"285","¿Qué son los amortiguadores de impacto en una carretera?","Son dispositivos que se colocan delante de un ""obstáculo"", cercano a la vía, para protegerlo."
"286","¿Qué son los lechos de frenado?","Explanadas de grava o arena situadas al final de pendientes descendentes."
"287","¿De qué tipos pueden ser los amortiguadores de impacto en una carretera?","Redirectivos y no redirectivos."
"288","Cualquier incidencia meteorológica, ¿cómo afecta a la conducción?","Disminuyendo la visibilidad y la adherencia entre neumáticos y calzada."
"289","En relación con los neumáticos, cualquier meteorología adversa supone:","disminución de adherencia."
"290","En caso de aviso de lluvias intensas…","se deben evitar o restringir los trayectos por la zona."
"291","En caso de causas meteorológicas extremas, ¿cuándo es aconsejable detenerse fuera de la carretera y esperar a su mejora?","Cuando la circulación se realice con peligro para la seguridad vial."
"292","Si por causas meteorológicas extremas, la circulación se realiza con dificultad y","peligro para la seguridad vial, es aconsejable... detenerse fuera de la carretera hasta que las circunstancias mejoren."
"293","Si, por causas meteorológicas extremas, es necesario detenerse fuera de la","carretera, es aconsejable... abandonar el vehículo solo si se está seguro de poder llegar a un refugio."
"294","¿Cuál es una característica de la actuación de los conductores?","Actuar de tal manera que la diferencia entre el riesgo que está dispuesto a asumir y el que él cree que existe sea la mínima posible."
"295","El conductor actúa, frente al riesgo que percibe en la carretera...","de acuerdo con el riesgo que está dispuesto a asumir."
"296","¿En base a qué elige el conductor, principalmente, su nivel de riesgo aceptado?","En base a las ganancias y pérdidas esperadas."
"297","¿Cuáles son los factores internos que puede provocar la distracción del conductor?","Concentración en problemas ajenos a la conducción."
"298","¿Qué elemento es fundamental en la toma de decisiones en la conducción?","La percepción del riesgo de accidente."
"299","¿Qué elemento es fundamental en la toma de decisiones en la conducción?","El nivel de riesgo que está dispuesto a aceptar el conductor."
"300","¿Qué elemento no es condicionante de la toma de decisiones en la conducción?","• El riesgo percibido. • El riesgo asumible. • Las pérdidas y ganancias. • Todas son condicionantes."
"301","¿Qué puede suponer una sensación de pérdida que motive una modificación en la conducción?","• La incomodidad del conductor. • La posible sanción económica. • Una pérdida de tiempo en una retención. • Todas las respuestas son correctas."
"302","¿Cómo puede afectar al conductor una pérdida reciente de tiempo como consecuencia de una retención mayor a la esperada?","Considera mayor el coste esperado de una conducta prudente."
"303","Tras una sensación de pérdida sufrida por del conductor como consecuencia de un atasco, ¿cómo suele reaccionar?","Cambiar de conducta, aumentando los riesgos en la conducción."
"304","El conductor, ante una sensación de pérdida durante la conducción, suele…","compensarla."
"305","¿Qué circunstancias pueden influir negativamente en la percepción del riesgo del conductor?","Minimización de las consecuencias de un accidente."
"306","¿Un factor que afecta a la atención y puede producir distracciones es atender al teléfono móvil?","Sí, es un factor interno al conductor."
"307","¿Encender un cigarrillo durante la conducción puede afectar a la atención y producir distracciones?","Sí, es un factor interno al conductor."
"308","Una excesiva concentración de señales en la carretera, ¿es un factor que afecta a la atención y puede producir distracciones?","Sí, es un factor externo al conductor."
"309","Una señalización incorrecta en la carretera, ¿puede afectar a la atención y producir distracciones?","Sí, es un factor externo al conductor."
"311","¿Qué circunstancia puede hacer que la fatiga sea mayor durante la conducción?","Recorrer un trayecto poco conocido."
"312","¿Cómo puede afectar la división de la atención del conductor al buscar una calle manipulando el GPS?","Supone un factor de distracción interno al conductor."
"313","¿Cuál es el proceso mediante el cual se realiza una elección entre diversas alternativas en la conducción?","Toma de decisiones."
"314","En el proceso de toma de decisiones de un conductor, ¿qué supone el acto de encender un cigarrillo?","Es una distracción."
"315","Durante la conducción, el conductor recibe información en la que basa sus decisiones, ¿de dónde procede esa información?","De las condiciones del tráfico."
"316","Durante la conducción, el conductor recibe información en la que basa sus decisiones, ¿de dónde procede esa información?","• De la carretera. • Del medio ambiente. • De las condiciones del tráfico. • Todas las respuestas anteriores son correctas."
"317","Durante la conducción, ¿qué información recibe el conductor proveniente de la carretera?","El trazado."
"318","Durante la conducción, ¿qué información recibe el conductor proveniente de la carretera?","• Trazado. • Condiciones del firme. • Señalización. • Todas las respuestas son correctas."
"319","Durante la conducción, ¿qué información recibe el conductor proveniente del medio ambiente?","Posición del sol."
"320","Durante la conducción, ¿qué información recibe el conductor proveniente de las condiciones del tráfico?","Tipo de vehículos circulando."
"321","Durante la conducción, ¿qué información recibe el conductor proveniente del vehículo?","Vibraciones y ruidos del vehículo."
"322","¿Es importante que el conductor dedique una parte de su atención a las conductas de otros conductores?","Sí, ayuda a identificarla y adelantarse a su desarrollo."
"323","¿Qué motivos pueden distorsionar la decisión tomada por el conductor suponiendo una mayor asunción del riesgo por su parte?","• Prisa en finalizar el viaje. • Excesiva confianza en la tecnología del vehículo. • Minimización de las consecuencias de un accidente. • Todas las respuestas son correctas."
"324","¿Qué elementos suele decirse que conforman el fenómeno del tráfico?","• La vía. • El conductor. • El vehículo. • Todas las respuestas anteriores son correctas."
"325","¿De qué elemento de los siguientes no suele decirse que conforma el fenómeno del tráfico?","El tiempo."
"326","¿Cómo identifica el conductor los elementos importantes para tomar sus decisiones durante la conducción?","• Analizando la información recibida. • Aplicando su experiencia. • Utilizando los conocimientos adquiridos. • Todas las respuestas son correctas."
"327","Entre los elementos internos que utiliza el conductor para su toma de decisiones durante la conducción se incluye:","el aprendizaje y la experiencia."
"328","¿Qué elementos condicionan el análisis y procesamiento de la información que recibe el conductor durante la conducción?","La existencia de factores internos de distracción."
"329","¿Qué puede alterar la comprensión de la información, procedente del entorno del tráfico, que recibe el conductor?","• La fatiga. • La prisa. • La excesiva confianza en el vehículo. • Todas las respuestas son correctas."
"330","¿Cómo se cuantifica el riesgo que tienen los peatones de sufrir una incidencia?","Entre dos y siete veces mayor que el conductor de un automóvil."
"331","¿A qué velocidad, un atropello tiene un 90 % de posibilidades de producir lesiones fatales en la cabeza de la víctima?","60 km/h."
"332","¿A qué velocidad, un atropello, tiene un 40 % de posibilidades de producir lesiones fatales en la cabeza de la víctima?","50 km/h."
"333","Entre peatón y vehículo existe una zona en la que los movimientos de ambos tienen una cierta vinculación, ¿cómo se denomina dicha zona?","De interacción."
"334","En la zona de interacción entre conductor y peatón es fundamental…","la percepción que tenga el conductor de los movimientos del peatón."
"335","¿A qué situación debe prestarse especial atención en relación con los peatones?","• Peatones hablando por su móvil. • Grupos de peatones. • Autobuses en sus paradas. • Todas son correctas."
"336","¿Qué infracciones son las más comunes en peatones menores de 14 años?","Irrumpir de manera antirreglamentaria en la calzada."
"337","¿Qué infracciones son las más comunes en peatones mayores de 65 años?","No respetar la señal del semáforo."
"338","¿Qué infracciones son las que cometen los peatones más comúnmente?","• Irrumpir antirreglamentariamente en la vía. • No situarse correctamente en las calzadas o arcenes. • No utilizar el paso para peatones. • Todas las respuestas son correctas."
"339","Cruzar una calzada sin mirar es…","Es una conducta de riesgo, no una infracción."
